src	trg	weight
Nirvana (band)	Staind	7.151492985635172
Nirvana (band)	Velvet Revolver	7.151492985635172
Nirvana (band)	The Used	7.151492985635172
Nirvana (band)	Tom Petty and the Heartbreakers	7.151492985635172
No Doubt	The Police	1.9530692634666407
No Doubt	Red Hot Chili Peppers	1.9530692634666407
No Doubt	Paul McCartney	1.9530692634666407
No Doubt	Talking Heads	1.9530692634666407
No Doubt	The Offspring	1.9530692634666407
No Doubt	rock music	1.9530692634666407
No Doubt	Sublime with Rome	1.9530692634666407
No Doubt	The Clash	1.9530692634666407
No Doubt	Panic! at the Disco	1.9530692634666407
No Doubt	Sublime (band)	1.9530692634666407
No Doubt	Paramore	1.9530692634666407
No Doubt	Rush (band)	1.9530692634666407
Oasis (band)	Radiohead	3.0543870806685565
Oasis (band)	Snow Patrol	3.0543870806685565
Oasis (band)	Weezer	3.0543870806685565
Oasis (band)	The Smiths	3.0543870806685565
Oasis (band)	The Kinks	3.0543870806685565
Oasis (band)	The Verve	3.0543870806685565
Oasis (band)	rock music	3.0543870806685565
Oasis (band)	Rod Stewart	3.0543870806685565
Oasis (band)	Slade	3.0543870806685565
Oasis (band)	Phil Collins	3.0543870806685565
Oasis (band)	The Who	3.0543870806685565
Oasis (band)	Sex Pistols	3.0543870806685565
Oasis (band)	Ozzy Osbourne	3.0543870806685565
Oasis (band)	T. Rex (band)	3.0543870806685565
Oasis (band)	Travis (band)	3.0543870806685565
Oasis (band)	The Pretty Reckless	3.0543870806685565
Oasis (band)	The Stone Roses	3.0543870806685565
Oasis (band)	The Killers	3.0543870806685565
Oasis (band)	Ringo Starr	3.0543870806685565
Oasis (band)	The Black Crowes	3.0543870806685565
Oasis (band)	Third Eye Blind	3.0543870806685565
Our Lady Peace	Soundgarden	1.745456050128988
Our Lady Peace	Thousand Foot Krutch	1.745456050128988
Our Lady Peace	Pearl Jam	1.745456050128988
