src	trg	weight
Linkin Park	The Offspring	3.6983000630378067
Linkin Park	Marilyn Manson	3.6983000630378067
Linkin Park	rock music	3.6983000630378067
Linkin Park	Stone Temple Pilots	3.6983000630378067
Linkin Park	Pink Floyd	3.6983000630378067
Linkin Park	Paramore	3.6983000630378067
Linkin Park	Mudvayne	3.6983000630378067
Linkin Park	Rage Against the Machine	3.6983000630378067
Linkin Park	Red Hot Chili Peppers	3.6983000630378067
Linkin Park	Muse (band)	3.6983000630378067
Linkin Park	Pearl Jam	3.6983000630378067
Linkin Park	Metallica	3.6983000630378067
Linkin Park	Thirty Seconds to Mars	3.6983000630378067
Linkin Park	Run-DMC	3.6983000630378067
Linkin Park	Papa Roach	3.6983000630378067
Linkin Park	Three Days Grace	3.6983000630378067
Linkin Park	Sum 41	3.6983000630378067
Linkin Park	Velvet Revolver	3.6983000630378067
Linkin Park	System of a Down	3.6983000630378067
Linkin Park	Nirvana (band)	3.6983000630378067
Linkin Park	My Chemical Romance	3.6983000630378067
Linkin Park	U2	3.6983000630378067
Little Richard	The Kinks	3.7981244271298396
Little Richard	Ritchie Valens	3.7981244271298396
Little Richard	Rod Stewart	3.7981244271298396
Little Richard	Queen (band)	3.7981244271298396
Little Richard	Steppenwolf (band)	3.7981244271298396
Little Richard	The Beatles	3.7981244271298396
Little Richard	Robert Plant	3.7981244271298396
Little Richard	The Jam	3.7981244271298396
Little Richard	U2	3.7981244271298396
Little Richard	Soundgarden	3.7981244271298396
Little Richard	Ratt	3.7981244271298396
Little Richard	Tom Petty	3.7981244271298396
Little Richard	Paul McCartney	3.7981244271298396
Little Richard	rock music	3.7981244271298396
Little Richard	Slade	3.7981244271298396
Little Richard	The Rolling Stones	3.7981244271298396
Little Richard	Living Colour	3.7981244271298396
Little Richard	Neil Young	3.7981244271298396
Little Richard	Lou Reed	3.7981244271298396
Little Richard	Ted Nugent	3.7981244271298396
Little Richard	The Everly Brothers	3.7981244271298396
Little Richard	Motörhead	3.7981244271298396
Little River Band	Queen (band)	1.2940329478649732
Little River Band	Thin Lizzy	1.2940329478649732
Little River Band	Santana (band)	1.2940329478649732
Little River Band	Supertramp	1.2940329478649732
Live (band)	R.E.M.	1.724204127916987
Live (band)	Talking Heads	1.724204127916987
Live (band)	rock music	1.724204127916987
Live (band)	Stone Temple Pilots	1.724204127916987
Live (band)	Our Lady Peace	1.724204127916987
Live (band)	Peter Gabriel	1.724204127916987
Living Colour	Mötley Crüe	1.096650483693265
Living Colour	Rage Against the Machine	1.096650483693265
Living Colour	The Rolling Stones	1.096650483693265
Living Colour	rock music	1.096650483693265
Living Colour	Steve Vai	1.096650483693265
Living Colour	Rush (band)	1.096650483693265
Lou Reed	Oasis (band)	2.606920364024586
Lou Reed	Simple Minds	2.606920364024586
Lou Reed	New York Dolls	2.606920364024586
Lou Reed	Weezer	2.606920364024586
Lou Reed	Sonic Youth	2.606920364024586
Lou Reed	Morrissey	2.606920364024586
Lou Reed	The Strokes	2.606920364024586
Lou Reed	rock music	2.606920364024586
Lou Reed	Ramones	2.606920364024586
Lou Reed	Yes (band)	2.606920364024586
Lou Reed	Mitch Ryder	2.606920364024586
Lou Reed	Pixies (band)	2.606920364024586
Lou Reed	Pearl Jam	2.606920364024586
Lou Reed	Metallica	2.606920364024586
Lou Reed	Steve Winwood	2.606920364024586
Lou Reed	The Beach Boys	2.606920364024586
Lou Reed	The Killers	2.606920364024586
Lou Reed	The Bangles	2.606920364024586
Lou Reed	The Velvet Underground	2.606920364024586
Lou Reed	Peter Gabriel	2.606920364024586
Lou Reed	U2	2.606920364024586
Loverboy	The Guess Who	1.4981378388501128
Loverboy	REO Speedwagon	1.4981378388501128
Loverboy	Styx (band)	1.4981378388501128
Loverboy	Pat Benatar	1.4981378388501128
Loverboy	ZZ Top	1.4981378388501128
Lynyrd Skynyrd	ZZ Top	2.9235485755723105
Lynyrd Skynyrd	Montgomery Gentry	2.9235485755723105
Lynyrd Skynyrd	rock music	2.9235485755723105
Lynyrd Skynyrd	The Allman Brothers Band	2.9235485755723105
Lynyrd Skynyrd	The Marshall Tucker Band	2.9235485755723105
Lynyrd Skynyrd	Pantera	2.9235485755723105
Lynyrd Skynyrd	Sex Pistols	2.9235485755723105
Lynyrd Skynyrd	The Rolling Stones	2.9235485755723105
