src	trg	nij
Pixies (band)	Weezer	9.06268664594308
Pixies (band)	Rush (band)	9.06268664594308
Pixies (band)	Primus (band)	9.06268664594308
Pixies (band)	T. Rex (band)	9.06268664594308
Pixies (band)	Robert Plant	9.06268664594308
Pixies (band)	Talking Heads	9.06268664594308
Pixies (band)	U2	9.06268664594308
Pixies (band)	The Beach Boys	9.06268664594308
Poison (American band)	Warrant (American band)	1.6021281860877385
Poison (American band)	Skid Row (American band)	1.6021281860877385
Poison (American band)	Slade	1.6021281860877385
Poison (American band)	Tesla (band)	1.6021281860877385
Poison (American band)	Ratt	1.6021281860877385
Pop Evil	Trivium (band)	2.1779123178520834
Pop Evil	Saving Abel	2.1779123178520834
Pop Evil	Puddle of Mudd	2.1779123178520834
Pop Evil	Whitesnake	2.1779123178520834
Pop Evil	Saliva (band)	2.1779123178520834
Pop Evil	Theory of a Deadman	2.1779123178520834
Primus (band)	Red Hot Chili Peppers	3.4489199772864074
Primus (band)	Rage Against the Machine	3.4489199772864074
Primus (band)	Slayer	3.4489199772864074
Primus (band)	Rush (band)	3.4489199772864074
Primus (band)	Talking Heads	3.4489199772864074
Primus (band)	Tool (band)	3.4489199772864074
Primus (band)	U2	3.4489199772864074
Puddle of Mudd	Saving Abel	5.85454696781883
Puddle of Mudd	Stone Temple Pilots	5.85454696781883
Puddle of Mudd	Skillet (band)	5.85454696781883
Puddle of Mudd	The Rolling Stones	5.85454696781883
Puddle of Mudd	Soundgarden	5.85454696781883
Puddle of Mudd	Rage Against the Machine	5.85454696781883
Puddle of Mudd	Staind	5.85454696781883
Puddle of Mudd	Thirty Seconds to Mars	5.85454696781883
Queen (band)	Red Hot Chili Peppers	68.33007218765064
Queen (band)	Trivium (band)	68.33007218765064
Queen (band)	Supertramp	68.33007218765064
Queen (band)	Thin Lizzy	68.33007218765064
Queen (band)	Twisted Sister	68.33007218765064
Queen (band)	Rage Against the Machine	68.33007218765064
Queen (band)	Queensrÿche	68.33007218765064
Queen (band)	The Used	68.33007218765064
Queen (band)	Shinedown	68.33007218765064
Queen (band)	Styx (band)	68.33007218765064
Queen (band)	Rod Stewart	68.33007218765064
Queen (band)	The Sweet	68.33007218765064
Queen (band)	The Cure	68.33007218765064
Queen (band)	Radiohead	68.33007218765064
Queen (band)	Yes (band)	68.33007218765064
Queen (band)	The Cult	68.33007218765064
Queen (band)	Slipknot (band)	68.33007218765064
Queen (band)	The Kinks	68.33007218765064
Queen (band)	Slade	68.33007218765064
Queen (band)	Rob Zombie	68.33007218765064
