src	trg	nij
Metallica	Rush (band)	34.691044533289414
Metallica	The Black Crowes	34.691044533289414
Metallica	Ozzy Osbourne	34.691044533289414
Metallica	My Chemical Romance	34.691044533289414
Metallica	Staind	34.691044533289414
Metallica	Mudvayne	34.691044533289414
Metallica	Sam Fender	34.691044533289414
Metallica	The Cult	34.691044533289414
Metallica	Slipknot (band)	34.691044533289414
Metallica	Rob Zombie	34.691044533289414
Metallica	Ratt	34.691044533289414
Metallica	Motörhead	34.691044533289414
Metallica	Mötley Crüe	34.691044533289414
Metallica	Ramones	34.691044533289414
Metallica	W.A.S.P. (band)	34.691044533289414
Metallica	Tenacious D	34.691044533289414
Metallica	Sum 41	34.691044533289414
Metallica	Papa Roach	34.691044533289414
Metallica	Pink Floyd	34.691044533289414
Metallica	The Smashing Pumpkins	34.691044533289414
Metallica	Ted Nugent	34.691044533289414
Metallica	Sepultura	34.691044533289414
Metallica	Skid Row (American band)	34.691044533289414
Metallica	Sex Pistols	34.691044533289414
Midnight Oil	Peter Gabriel	8.913669170268271
Midnight Oil	Yes (band)	8.913669170268271
Midnight Oil	Silverchair	8.913669170268271
Midnight Oil	R.E.M.	8.913669170268271
Midnight Oil	Scorpions (band)	8.913669170268271
